"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"397"	"GO:0090659"	"walking behavior"	22	4	1.22	953	0.03045	0.031	"CTNS,DAB1,KCNJ10,SPTBN4"
"398"	"GO:0071312"	"cellular response to alkaloid"	22	4	1.22	954	0.03045	0.031	"CASP7,CCNA2,CRHBP,ICAM1"
"399"	"GO:0002407"	"dendritic cell chemotaxis"	22	4	1.22	955	0.03045	0.031	"CCL5,GPR183,IL12A,SLAMF8"
"400"	"GO:0071695"	"anatomical structure maturation"	132	13	7.33	961	0.03048	0.03169	"C3,CDH5,CX3CR1,DAZL,DMC1,GLDN,LRRK2,S1PR1,SCARF1,SPTBN4,TAL1,TYMS,XYLT1"
"401"	"GO:0000075"	"cell cycle checkpoint"	209	24	11.6	410	0.03054	0.00058	"AURKB,BRCA1,BUB1B,CDC45,CDC6,CDK1,CDT1,CHMP4C,CLSPN,DTL,E2F1,E2F8,FBXO6,GTSE1,HORMAD1,MAD2L1,MUC1,NDC80,ORC1,PML,TICRR,TOP2A,WDR76,ZWINT"
"402"	"GO:0007260"	"tyrosine phosphorylation of STAT protein"	59	14	3.28	212	0.03068	3e-06	"CCL5,CD40,IL12A,IL15,IL22RA2,IL31RA,JAK2,JAK3,LYN,OSM,PARP14,SOCS1,STAP2,TNFSF18"
"403"	"GO:0043491"	"protein kinase B signaling"	202	18	11.21	978	0.0307	0.03218	"ADAM8,BANK1,BTN2A2,CCL5,CD28,CD40,CD80,CX3CR1,HBEGF,HGF,HLA-G,ITSN1,KITLG,KLF4,OSM,P2RX4,SESN3,TNFAIP8L3"
"404"	"GO:0007062"	"sister chromatid cohesion"	55	7	3.05	958	0.03075	0.03157	"BUB1B,CDCA5,DSCC1,ESCO2,FEN1,HORMAD1,MEIKIN"
"405"	"GO:0051785"	"positive regulation of nuclear division"	55	7	3.05	959	0.03075	0.03157	"CD28,CDCA5,CDT1,DAZL,EDN1,LRP5,NUSAP1"
"406"	"GO:1905155"	"positive regulation of membrane invagination"	13	3	0.72	963	0.03164	0.03209	"APPL2,C3,STAP1"
"407"	"GO:0090266"	"regulation of mitotic cell cycle spindle assembly checkpoint"	13	3	0.72	964	0.03164	0.03209	"CDT1,MAD2L1,NDC80"
"408"	"GO:1900016"	"negative regulation of cytokine production involved in inflammatory response"	13	3	0.72	965	0.03164	0.03209	"APPL2,MEFV,ZC3H12A"
"409"	"GO:0090231"	"regulation of spindle checkpoint"	13	3	0.72	966	0.03164	0.03209	"CDT1,MAD2L1,NDC80"
"410"	"GO:0071350"	"cellular response to interleukin-15"	13	3	0.72	967	0.03164	0.03209	"IL15,IL15RA,JAK3"
"411"	"GO:0051315"	"attachment of mitotic spindle microtubules to kinetochore"	13	3	0.72	968	0.03164	0.03209	"CDT1,NDC80,NUF2"
"412"	"GO:0002418"	"immune response to tumor cell"	13	3	0.72	969	0.03164	0.03209	"CD274,CEACAM1,IL12A"
"413"	"GO:0045072"	"regulation of interferon-gamma biosynthetic process"	13	3	0.72	970	0.03164	0.03209	"IL27,TLR7,TLR8"
"414"	"GO:0072567"	"chemokine (C-X-C motif) ligand 2 production"	13	3	0.72	971	0.03164	0.03209	"CD74,KLF4,MCOLN2"
"415"	"GO:0006878"	"cellular copper ion homeostasis"	13	3	0.72	972	0.03164	0.03209	"MT2A,SCO2,SLC31A2"
"416"	"GO:0035723"	"interleukin-15-mediated signaling pathway"	13	3	0.72	973	0.03164	0.03209	"IL15,IL15RA,JAK3"
"417"	"GO:0060340"	"positive regulation of type I interferon-mediated signaling pathway"	13	3	0.72	974	0.03164	0.03209	"IRF7,NLRC5,ZBP1"
"418"	"GO:0035812"	"renal sodium excretion"	13	3	0.72	975	0.03164	0.03209	"AGT,EDN1,NPR1"
"419"	"GO:1903504"	"regulation of mitotic spindle checkpoint"	13	3	0.72	976	0.03164	0.03209	"CDT1,MAD2L1,NDC80"
"420"	"GO:0060100"	"positive regulation of phagocytosis, engulfment"	13	3	0.72	977	0.03164	0.03209	"APPL2,C3,STAP1"
"421"	"GO:0008277"	"regulation of G protein-coupled receptor signaling pathway"	106	11	5.88	980	0.03192	0.03305	"C3,CCL5,DNM1,DTNBP1,DYNLT1,EDN1,LRRK2,NECAB2,PLEK,RGS18,STMN1"
"422"	"GO:0008284"	"positive regulation of cell proliferation"	710	67	39.42	253	0.03245	1.2e-05	"AGT,ATF3,BCL6,BIRC5,CCL5,CCNA2,CD274,CD28,CD38,CD40,CD74,CD80,CDC6,CDK1,CHRD,COMP,CX3CR1,CXCL10,CXCL5,DLL1,DYSF,E2F1,EDN1,FLT3LG,GHRL,GLUL,GPR183,HBEGF,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,IL12A,IL12RB1,IL12RB2,IL15,IL31RA,IQGAP3,JAK2,JAK3,KITLG,LBH,LRP5,LYN,MARCKSL1,MIR503,MMP9,NOD2,NRP1,OSM,PDCD1LG2,PID1,PIM1,PML,PRC1,RIPK2,S100A13,S1PR1,SLAMF1,SSBP3,STAT1,TGM2,TMEM119,TNFRSF11A,TNFSF13B,VCAM1,VEGFC"
"423"	"GO:0032655"	"regulation of interleukin-12 production"	48	9	2.66	452	0.03272	0.00113	"CD40,HLA-G,IDO1,IRF1,JAK3,MEFV,RIPK2,SLAMF1,TLR8"
"424"	"GO:0006949"	"syncytium formation"	44	6	2.44	984	0.03273	0.03351	"CXCL10,CXCL9,FLT3LG,MYOF,SBNO2,SH3PXD2A"
"425"	"GO:0051899"	"membrane depolarization"	68	8	3.78	986	0.03301	0.03396	"ANK2,CAMK2D,EDN1,KCNJ2,LRRK2,P2RX4,P2RX7,SCN4B"
"426"	"GO:0140013"	"meiotic nuclear division"	120	12	6.66	995	0.03314	0.03437	"BUB1B,CCNE2,DAZL,DMC1,HORMAD1,MEIKIN,NCAPH,NUF2,RAD54B,RAD54L,TDRD9,TOP2A"
"427"	"GO:0050798"	"activated T cell proliferation"	33	5	1.83	987	0.03327	0.03396	"BTN2A2,BTN3A1,CD274,IL12RB1,PDCD1LG2"
"428"	"GO:0007094"	"mitotic spindle assembly checkpoint"	33	5	1.83	988	0.03327	0.03396	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"429"	"GO:0086004"	"regulation of cardiac muscle cell contraction"	33	5	1.83	989	0.03327	0.03396	"ANK2,CAMK2D,KCNJ2,PDE4B,SRI"
"430"	"GO:0071173"	"spindle assembly checkpoint"	33	5	1.83	990	0.03327	0.03396	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"431"	"GO:0071174"	"mitotic spindle checkpoint"	33	5	1.83	991	0.03327	0.03396	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"432"	"GO:0031577"	"spindle checkpoint"	33	5	1.83	992	0.03327	0.03396	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"433"	"GO:0050918"	"positive chemotaxis"	56	7	3.11	996	0.03354	0.03442	"CCL15,CCL5,CXCL10,HGF,NRP1,S1PR1,VEGFC"
"434"	"GO:0030193"	"regulation of blood coagulation"	56	7	3.11	997	0.03354	0.03442	"CEACAM1,EDN1,ENPP4,LYN,PLEK,SERPING1,THBD"
"435"	"GO:0002040"	"sprouting angiogenesis"	107	11	5.94	998	0.03388	0.03507	"CEACAM1,DLL1,E2F2,E2F8,GHRL,GLUL,KLF4,MIR503,NRP1,RNF213,VEGFC"
"436"	"GO:1904018"	"positive regulation of vasculature development"	162	15	8.99	1000	0.03434	0.0358	"BRCA1,C3,CD40,CDH5,CEACAM1,CX3CR1,DLL1,GHRL,HGF,KLF4,MIR503,NRP1,RAPGEF2,VEGFC,ZC3H12A"
"437"	"GO:0071417"	"cellular response to organonitrogen compound"	477	36	26.48	1009	0.03496	0.03747	"AGT,APPL2,ATP6V0D2,BCL2L11,BRCA1,CASP4,CASP7,CASTOR1,CCNA2,CDC6,CEACAM1,CISH,CRHBP,EDN1,GHRL,GNG2,ICAM1,JAK2,JAK3,KLF4,LRRK2,LYN,NOD2,P2RX4,P2RX7,PDE3B,PDE4B,PDK4,PID1,RAPGEF2,RIPK2,SESN3,SOCS1,STAT1,VCAM1,XRN1"
"438"	"GO:0044364"	"disruption of cells of other organism"	23	4	1.28	1002	0.0353	0.03592	"APOL1,BCL2L11,CCL13,P2RX7"
"439"	"GO:0072538"	"T-helper 17 type immune response"	23	4	1.28	1003	0.0353	0.03592	"IL12RB1,SLAMF6,TBX21,ZC3H12A"
"440"	"GO:0019054"	"modulation by virus of host process"	23	4	1.28	1004	0.0353	0.03592	"BCL2L11,CCL8,KPNA5,ZC3H12A"
"441"	"GO:0031640"	"killing of cells of other organism"	23	4	1.28	1005	0.0353	0.03592	"APOL1,BCL2L11,CCL13,P2RX7"
"442"	"GO:0070372"	"regulation of ERK1 and ERK2 cascade"	226	28	12.55	301	0.03535	5.6e-05	"ATF3,BTN2A2,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD74,CEACAM1,GBP1,GLIPR2,GPR183,ICAM1,KARS1,KLF4,LYN,MIR503,NECAB2,NLRP12,NOD2,NRP1,RAPGEF2,RIPK2,SCIMP,SLAMF1,TNFAIP8L3,TNFRSF11A"
"443"	"GO:0032651"	"regulation of interleukin-1 beta production"	69	17	3.83	145	0.0354	1.5e-07	"AIM2,CARD16,CARD17,CX3CR1,GHRL,GSDMD,JAK2,LILRA2,MEFV,NLRP12,NOD2,P2RX7,PML,PYHIN1,RIPK2,TLR8,ZC3H12A"
"444"	"GO:0010972"	"negative regulation of G2/M transition of mitotic cell cycle"	85	13	4.72	429	0.03545	0.00078	"AURKB,BRCA1,CDC6,CDK1,CHMP4C,CLSPN,ORC1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TICRR"
"445"	"GO:1901699"	"cellular response to nitrogen compound"	525	39	29.15	1015	0.03589	0.03858	"AGT,APPL2,ATP6V0D2,BCL2L11,BRCA1,CASP4,CASP7,CASTOR1,CCNA2,CDC6,CEACAM1,CISH,COLEC12,CRHBP,EDN1,GHRL,GNG2,ICAM1,IFIH1,JAK2,JAK3,KLF4,LRRK2,LYN,NOD2,P2RX4,P2RX7,PDE3B,PDE4B,PDK4,PID1,RALB,RAPGEF2,RIPK2,SESN3,SOCS1,STAT1,VCAM1,XRN1"
"446"	"GO:0038061"	"NIK/NF-kappaB signaling"	149	14	8.27	1008	0.03598	0.03743	"CYLD,EDA,EDN1,LITAF,NLRP12,NOD2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RELB,TLR7,ZC3H12A"
"447"	"GO:0071407"	"cellular response to organic cyclic compound"	447	34	24.82	1014	0.03603	0.03852	"ACOD1,BCL2L11,BRCA1,CASP7,CCL5,CCNA2,COLEC12,CRHBP,CYP1A1,DAB2,EDN1,FAM107A,GNG2,GRAMD1B,ICAM1,IFIH1,IL15,JAK2,KLF4,LBH,LRRK2,NOD2,P2RX4,P2RX7,PADI2,PAQR8,PDE4B,PIM1,RALB,RAPGEF2,SSTR2,STAT1,XRN1,ZC3H12A"
"448"	"GO:0031668"	"cellular response to extracellular stimulus"	235	20	13.05	1010	0.0361	0.03791	"ATF3,CASTOR1,FAM107A,FAS,GLUL,GSDMD,ICAM1,IL15,KIF26A,LRRK2,LYN,P2RX4,P2RX7,PDK4,PIM1,PMAIP1,RALB,SESN3,VCAM1,ZC3H12A"
"449"	"GO:0001505"	"regulation of neurotransmitter levels"	271	27	15.05	524	0.03654	0.00234	"AGT,ASIC1,COLQ,CX3CR1,DPYS,DTNBP1,EDN1,ERC2,GCH1,GLUL,GRIN3A,ICAM1,JAK2,KCNJ10,KLF4,KLRK1,LRRK2,MCTP2,NAAA,P2RX4,P2RX7,PRRT2,SLC18A1,STX11,SYNGR3,SYT1,ZC3H12A"
"450"	"GO:0032615"	"interleukin-12 production"	49	9	2.72	466	0.03669	0.00132	"CD40,HLA-G,IDO1,IRF1,JAK3,MEFV,RIPK2,SLAMF1,TLR8"
"451"	"GO:0050715"	"positive regulation of cytokine secretion"	110	17	6.11	328	0.0371	0.00011	"AIM2,CD274,CLEC6A,CLEC9A,FCN1,GSDMD,IFIH1,KARS1,LILRA2,LRRK2,NLRP12,NOD2,OSM,P2RX7,PTGER4,RIPK2,TLR8"
"452"	"GO:0043900"	"regulation of multi-organism process"	342	41	18.99	209	0.03727	2.6e-06	"ACOD1,AIM2,APOBEC3A,APOBEC3D,APOBEC3G,BCL2L11,CARD16,CCL5,CCL8,CD28,CD74,CHMP4C,DDX60,DTX3L,DYNLT1,FCN1,FGL2,IFI27,IFIT5,IFITM1,IFITM2,IFITM3,IGF2R,IL12RB1,IL15,IL27,ISG20,LAMP3,LILRA2,OPTN,P2RX7,PARP10,PLB1,PML,RIPK2,RSAD2,STAT1,TOP2A,TRIM31,TSPAN32,ZC3H12A"
"453"	"GO:0051240"	"positive regulation of multicellular organismal process"	1407	124	78.11	128	0.03729	7.7e-08	"ACSL1,ADAM8,AGT,AIM2,AMOT,APPL2,B2M,BCL6,BRCA1,BTN2A2,C21orf91,C3,CAMK2D,CD101,CD274,CD28,CD38,CD40,CD74,CD80,CDH5,CDK1,CEACAM1,CLEC6A,CLEC9A,CX3CR1,CYLD,DAB1,DAB2,DDX60,DLL1,DYNLT1,E2F1,EDN1,ENPP2,ENPP4,EPAS1,EPHB3,FCN1,FLT3LG,G0S2,GBP5,GCH1,GHRL,GLIPR2,GSDMD,HBEGF,HCAR2,HGF,HLA-DPA1,HLA-DPB1,HLA-E,HLA-F,HLA-G,HRH2,ICAM1,IDO1,IFIH1,IFITM1,IL12A,IL12RB1,IL12RB2,IL15,IL1RN,IL27,IQGAP3,IRF1,IRF7,ITSN1,JAK2,KARS1,KITLG,KLF4,KLRK1,LBH,LILRA2,LRP5,LRRK2,LYN,MCOLN2,MIR503,MMD,MMP9,NLRP12,NOD2,NPR1,NRP1,OSM,P2RX4,P2RX7,PDE4B,PIM1,PLAAT4,PLEK,PLXNA2,PTGER4,PYHIN1,RAPGEF2,RIPK2,RSAD2,SCARF1,SCIN,SLAMF6,SLC11A1,SOCS1,SOX17,SPTBN4,STAT1,SYT1,TAL1,TBX21,TESC,THBD,THBS2,TLR5,TLR7,TLR8,TMEM119,TNFRSF11A,TRDN,VEGFC,XRCC2,ZBP1,ZC3H12A"
"454"	"GO:0010559"	"regulation of glycoprotein biosynthetic process"	34	5	1.89	1011	0.03729	0.03806	"HBEGF,IL15,JAK3,NECAB2,SOAT1"
"455"	"GO:0071622"	"regulation of granulocyte chemotaxis"	34	5	1.89	1012	0.03729	0.03806	"CCL5,CD74,DYSF,EDN1,KARS1"
"456"	"GO:0051099"	"positive regulation of binding"	164	15	9.1	1024	0.03767	0.03925	"B2M,CDCA5,CDT1,DTX3L,JAK2,KLF4,LRRK2,MMP9,NRP1,PYHIN1,RALB,RAPGEF2,RIPK2,S100A10,STMN1"
"457"	"GO:0050866"	"negative regulation of cell activation"	160	26	8.88	179	0.03775	7.2e-07	"BANK1,BCL6,BTN2A2,CD274,CD300LF,CD74,CD80,CEACAM1,CTLA4,FGL1,FGL2,HLA-F,HLA-G,IDO1,IL31RA,IRF1,JAK3,LAG3,LYN,PDCD1LG2,SOCS1,TBX21,THBD,TNFRSF21,TSPAN32,ZC3H12A"
"458"	"GO:0043085"	"positive regulation of catalytic activity"	1228	85	68.18	812	0.03793	0.01842	"ACSL1,ADAM8,AGT,AIM2,ANTXR1,ARAP2,ATP1B2,AURKB,BCL2L11,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD40,CD74,CDC6,CDK1,CLSPN,DAB1,DHFR,DSCC1,DTX3L,EDN1,FAM13A,FAM20A,FAS,GADD45B,GCH1,GHRL,GRAMD4,HGF,ICAM1,IQGAP3,ITK,ITSN1,JAK2,KARS1,KITLG,KLF4,LRRK2,LTC4S,LYN,MEFV,MMD,NCAPG2,NCAPH,NCF1,NCF1B,NCF1C,NLRP12,NOD2,NRK,NRP1,P2RX7,PKIB,PLAAT4,PLEK,PMAIP1,PML,PSME1,PSME2,RALB,RAPGEF2,RASGRF1,RGS18,RIPK2,RSU1,S100A10,S1PR1,SERINC5,SH3PXD2A,SLC11A1,SOCS1,STAP1,TAGAP,TAL1,TNFAIP8L3,TNFRSF11A,TNFSF10,UHRF1,USP6NL,VPS9D1"
"459"	"GO:0002683"	"negative regulation of immune system process"	365	52	20.26	70	0.03808	3e-10	"ACOD1,BANK1,BCL6,BTN2A2,CD274,CD300LF,CD74,CD80,CEACAM1,CTLA4,DLL1,FGL1,FGL2,GBP1,GRAMD4,HLA-DOA,HLA-DOB,HLA-E,HLA-F,HLA-G,IDO1,IL31RA,IRF1,JAK3,KITLG,KLRK1,LAG3,LILRA2,LILRB3,LYN,NCAPG2,NLRC5,NMI,PADI2,PARP14,PDCD1,PDCD1LG2,PTGER4,SERPING1,SLAMF8,SOCS1,STAP1,TAL1,TAPBPL,TBX21,TICAM2,TMEM176A,TMEM176B,TNFRSF21,TRAFD1,TSPAN32,ZC3H12A"
"460"	"GO:0072422"	"signal transduction involved in DNA damage checkpoint"	70	8	3.89	1026	0.03835	0.03943	"BRCA1,CDK1,DTL,E2F1,E2F8,GTSE1,MUC1,PML"
"461"	"GO:0072401"	"signal transduction involved in DNA integrity checkpoint"	70	8	3.89	1027	0.03835	0.03943	"BRCA1,CDK1,DTL,E2F1,E2F8,GTSE1,MUC1,PML"
"462"	"GO:0042095"	"interferon-gamma biosynthetic process"	14	3	0.78	1017	0.03865	0.0392	"IL27,TLR7,TLR8"
"463"	"GO:0070672"	"response to interleukin-15"	14	3	0.78	1018	0.03865	0.0392	"IL15,IL15RA,JAK3"
"464"	"GO:2000319"	"regulation of T-helper 17 cell differentiation"	14	3	0.78	1019	0.03865	0.0392	"IL12RB1,TBX21,ZC3H12A"
"465"	"GO:0017121"	"phospholipid scrambling"	14	3	0.78	1020	0.03865	0.0392	"ANO4,P2RX7,XKR6"
"466"	"GO:0006825"	"copper ion transport"	14	3	0.78	1021	0.03865	0.0392	"SCO2,SLC31A2,STEAP4"
"467"	"GO:0044062"	"regulation of excretion"	14	3	0.78	1022	0.03865	0.0392	"AGT,EDN1,NPR1"
"468"	"GO:0009263"	"deoxyribonucleotide biosynthetic process"	14	3	0.78	1023	0.03865	0.0392	"CMPK2,RRM2,TYMS"
"469"	"GO:0014065"	"phosphatidylinositol 3-kinase signaling"	123	12	6.83	1029	0.03902	0.04043	"AGT,BTN2A2,CCL5,CD28,CEACAM1,EDN1,HGF,JAK2,KLF4,LYN,NCF1,OSM"
"470"	"GO:2001236"	"regulation of extrinsic apoptotic signaling pathway"	137	13	7.61	1034	0.0395	0.041	"AGT,ATF3,BRCA1,CYLD,DEPTOR,FAS,G0S2,HGF,ICAM1,NRP1,PMAIP1,PML,TNFSF10"
"471"	"GO:0050818"	"regulation of coagulation"	58	7	3.22	1032	0.0396	0.04062	"CEACAM1,EDN1,ENPP4,LYN,PLEK,SERPING1,THBD"
"472"	"GO:0043551"	"regulation of phosphatidylinositol 3-kinase activity"	46	6	2.55	1030	0.03962	0.04054	"CISH,KLF4,LYN,NOD2,SOCS1,TNFAIP8L3"
"473"	"GO:0045840"	"positive regulation of mitotic nuclear division"	46	6	2.55	1031	0.03962	0.04054	"CD28,CDCA5,CDT1,EDN1,LRP5,NUSAP1"
"474"	"GO:0042093"	"T-helper cell differentiation"	53	12	2.94	267	0.04035	2.5e-05	"BCL6,CD80,GPR183,IL12RB1,IL27,JAK3,PTGER4,RELB,RIPK2,SLAMF6,TBX21,ZC3H12A"
"475"	"GO:0002460"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	215	48	11.94	26	0.04047	4.6e-17	"B2M,BCL6,BTN3A2,BTN3A3,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CD1A,CD1C,CD274,CD28,CD40,CD74,CD80,CEACAM1,EXO1,FGL2,GCNT3,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-E,HLA-F,HLA-G,ICAM1,IL12A,IL12RB1,IL18BP,IL27,IRF7,JAK3,P2RX7,RELB,RIPK2,RSAD2,SERPING1,SLAMF6,SLC11A1,TBX21,TLR8,TNFSF13B,ZC3H12A"
"476"	"GO:0014808"	"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"	24	4	1.33	1035	0.04057	0.04128	"ANK2,CAMK2D,SRI,TRDN"
"477"	"GO:0034629"	"cellular protein-containing complex localization"	24	4	1.33	1036	0.04057	0.04128	"EXOC3L1,EXOC3L4,RALB,TNFAIP2"
"478"	"GO:1903514"	"release of sequestered calcium ion into cytosol by endoplasmic reticulum"	24	4	1.33	1037	0.04057	0.04128	"ANK2,CAMK2D,SRI,TRDN"
"479"	"GO:1902624"	"positive regulation of neutrophil migration"	24	4	1.33	1038	0.04057	0.04128	"ADAM8,CD74,DYSF,EDN1"
"480"	"GO:0051896"	"regulation of protein kinase B signaling"	180	16	9.99	1045	0.04074	0.04249	"ADAM8,BANK1,BTN2A2,CD28,CD80,CX3CR1,HBEGF,HGF,HLA-G,ITSN1,KITLG,KLF4,OSM,P2RX4,SESN3,TNFAIP8L3"
"481"	"GO:0048469"	"cell maturation"	124	12	6.88	1046	0.04113	0.04261	"C3,DAZL,DMC1,EPAS1,GLDN,IL15,LRRK2,SCARF1,SEPTIN4,SPTBN4,TAL1,TYMS"
"482"	"GO:0002218"	"activation of innate immune response"	267	36	14.82	178	0.04121	6.8e-07	"ACOD1,AIM2,APPL2,CD300LF,CLEC10A,CLEC6A,COLEC12,CTSS,CYLD,DDX60,FCN1,GRAMD4,ICAM2,IFIH1,IRF1,IRF7,KLRK1,LILRA2,LYN,MUC1,NOD2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PYHIN1,RELB,RIPK2,RSAD2,TICAM2,TIFA,TLR10,TLR5,TLR7,TLR8"
"483"	"GO:0072395"	"signal transduction involved in cell cycle checkpoint"	71	8	3.94	1040	0.04122	0.04237	"BRCA1,CDK1,DTL,E2F1,E2F8,GTSE1,MUC1,PML"
"484"	"GO:1900047"	"negative regulation of hemostasis"	35	5	1.94	1041	0.04161	0.04246	"CEACAM1,COMP,EDN1,SERPING1,THBD"
"485"	"GO:0042304"	"regulation of fatty acid biosynthetic process"	35	5	1.94	1042	0.04161	0.04246	"BRCA1,CD74,CEACAM1,PDK4,SLC45A3"
"486"	"GO:1902100"	"negative regulation of metaphase/anaphase transition of cell cycle"	35	5	1.94	1043	0.04161	0.04246	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"487"	"GO:0045841"	"negative regulation of mitotic metaphase/anaphase transition"	35	5	1.94	1044	0.04161	0.04246	"AURKB,BUB1B,CDT1,MAD2L1,NDC80"
"488"	"GO:0045582"	"positive regulation of T cell differentiation"	70	11	3.89	484	0.04197	0.00154	"ADAM8,BCL6,BTN2A2,CD74,CD80,CYLD,HLA-G,IL12A,IL12RB1,RIPK2,SOCS1"
"489"	"GO:0002753"	"cytoplasmic pattern recognition receptor signaling pathway"	59	7	3.28	1048	0.04289	0.04398	"CYLD,DDX60,IFIH1,IRF7,NOD2,RIPK2,TIFA"
"490"	"GO:0055117"	"regulation of cardiac muscle contraction"	59	7	3.28	1049	0.04289	0.04398	"ANK2,CAMK2D,KCNJ2,P2RX4,PDE4B,SRI,ZC3H12A"
"491"	"GO:0001523"	"retinoid metabolic process"	59	7	3.28	1050	0.04289	0.04398	"CYP1A1,DGAT2,DHRS3,DHRS9,PLB1,SDC2,SDC3"
"492"	"GO:0070373"	"negative regulation of ERK1 and ERK2 cascade"	59	7	3.28	1051	0.04289	0.04398	"ATF3,BTN2A2,GBP1,KLF4,LYN,MIR503,NLRP12"
"493"	"GO:0051701"	"interaction with host"	183	20	10.16	542	0.04316	0.00289	"BCL2L11,CCL8,CD74,CD80,CDK1,CHMP4C,CXADR,DYNLT1,FCN1,ICAM1,IFITM1,IFITM2,IFITM3,KPNA5,PML,SLAMF1,TRIM31,TYMS,WWP1,ZC3H12A"
"494"	"GO:0043030"	"regulation of macrophage activation"	47	6	2.61	1053	0.04339	0.04438	"CD74,IL31RA,KARS1,LRRK2,STAP1,ZC3H12A"
"495"	"GO:0070671"	"response to interleukin-12"	47	6	2.61	1054	0.04339	0.04438	"IL12A,IL12RB1,IL12RB2,JAK2,PSME2,RIPK2"
"496"	"GO:0048146"	"positive regulation of fibroblast proliferation"	47	6	2.61	1055	0.04339	0.04438	"AGT,CCNA2,CD74,CDC6,E2F1,PML"
"497"	"GO:0046651"	"lymphocyte proliferation"	215	37	11.94	80	0.04353	6.3e-10	"BCL6,BTN2A2,BTN3A1,CCL5,CD274,CD28,CD38,CD40,CD74,CD80,CTLA4,FLT3LG,GPR183,HELLS,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,IDO1,IL12A,IL12RB1,IL15,IL27,IRF1,JAK3,LYN,P2RX7,PDCD1LG2,PSMB10,RIPK2,SLC11A1,TNFRSF21,TNFSF13B,TNFSF18,TNFSF8,VCAM1"
"498"	"GO:2000134"	"negative regulation of G1/S transition of mitotic cell cycle"	98	10	5.44	1056	0.04371	0.04511	"BTN2A2,CDK1,CDKN2C,E2F1,E2F8,FAM107A,GTSE1,KLF4,MUC1,PML"
"499"	"GO:0051260"	"protein homooligomerization"	270	22	14.99	1059	0.04374	0.046	"APPL2,ASIC1,B2M,BCL2L11,COLEC12,DPYS,GBP1,GBP5,GCH1,GLUL,GSDMD,HLA-G,KCNJ2,KCTD14,P2RX4,RNF213,SEPTIN4,STEAP4,SYT1,TGM2,TIFA,TK1"
"500"	"GO:0014068"	"positive regulation of phosphatidylinositol 3-kinase signaling"	72	8	4	1057	0.04423	0.04545	"AGT,CCL5,CD28,HGF,JAK2,LYN,NCF1,OSM"
